# q=  0.10000000E-02  0.10000000E-02  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.71197457E-06      0.00000000E+00     -0.67440762E-02      0.00000000E+00
       2     -0.98954721E-06      0.00000000E+00     -0.13245846E-01      0.00000000E+00
       3     -0.16174209E-05      0.00000000E+00     -0.18143828E-01      0.00000000E+00
       4     -0.16442463E-05      0.00000000E+00     -0.19685108E-01      0.00000000E+00

# q=  0.00000000E+00  0.00000000E+00  0.50000000E+00  (qpt 2)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.62652764E-02      0.00000000E+00     -0.69907109E-02      0.00000000E+00
       2     -0.12386796E-01      0.00000000E+00     -0.94552998E-02      0.00000000E+00
       3     -0.17103920E-01      0.00000000E+00     -0.12782448E-01      0.00000000E+00
       4     -0.18082414E-01      0.00000000E+00     -0.14311309E-01      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.00000000E+00  (qpt 3)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.62973577E-02      0.00000000E+00     -0.68484923E-02      0.00000000E+00
       2     -0.12940273E-01      0.00000000E+00     -0.93550735E-02      0.00000000E+00
       3     -0.17104937E-01      0.00000000E+00     -0.12782431E-01      0.00000000E+00
       4     -0.18083208E-01      0.00000000E+00     -0.14310811E-01      0.00000000E+00

# q=  0.00000000E+00  0.50000000E+00  0.50000000E+00  (qpt 4)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.80674217E-02      0.00000000E+00     -0.72590666E-02      0.00000000E+00
       2     -0.18526741E-01      0.00000000E+00     -0.13224802E-01      0.00000000E+00
       3     -0.24995675E-01      0.00000000E+00     -0.16943173E-01      0.00000000E+00
       4     -0.27090122E-01      0.00000000E+00     -0.18616385E-01      0.00000000E+00

# q=  0.50000000E+00  0.00000000E+00  0.00000000E+00  (qpt 5)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.61778621E-02      0.00000000E+00     -0.73808074E-02      0.00000000E+00
       2     -0.12343213E-01      0.00000000E+00     -0.94761530E-02      0.00000000E+00
       3     -0.17104353E-01      0.00000000E+00     -0.12783437E-01      0.00000000E+00
       4     -0.18082412E-01      0.00000000E+00     -0.14310648E-01      0.00000000E+00

# q=  0.50000000E+00  0.00000000E+00  0.50000000E+00  (qpt 6)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.90215367E-02      0.00000000E+00     -0.78999160E-02      0.00000000E+00
       2     -0.19019781E-01      0.00000000E+00     -0.13381926E-01      0.00000000E+00
       3     -0.24995731E-01      0.00000000E+00     -0.16943641E-01      0.00000000E+00
       4     -0.27089500E-01      0.00000000E+00     -0.18615912E-01      0.00000000E+00

# q=  0.50000000E+00  0.50000000E+00  0.00000000E+00  (qpt 7)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.87125933E-02      0.00000000E+00     -0.79131851E-02      0.00000000E+00
       2     -0.18500408E-01      0.00000000E+00     -0.13091209E-01      0.00000000E+00
       3     -0.24995762E-01      0.00000000E+00     -0.16943912E-01      0.00000000E+00
       4     -0.27088834E-01      0.00000000E+00     -0.18616347E-01      0.00000000E+00

# q=  0.50000000E+00  0.50000000E+00  0.50000000E+00  (qpt 8)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.77796446E-02      0.00000000E+00     -0.49750088E-02      0.00000000E+00
       2     -0.14056805E-01      0.00000000E+00     -0.93286871E-02      0.00000000E+00
       3     -0.17119789E-01      0.00000000E+00     -0.12749393E-01      0.00000000E+00
       4     -0.18083053E-01      0.00000000E+00     -0.14310892E-01      0.00000000E+00

